#{"t_start": 1789746057.7703824, "env_id": "None"}
r,l,t
-105.0,50,150.339869
-101.3,50,150.836596
-75.0,50,151.363692
-85.6,50,152.505409
-254.1,50,153.005132
-107.9,50,153.402697
-75.5,50,154.279845
-244.3,50,154.631695
-266.9,50,155.478487
-103.6,50,155.919787
-277.6,50,156.291198
-101.2,50,157.181614
-98.6,50,157.596897
-237.8,50,158.565021
-114.1,50,158.951849
-107.3,50,159.397785
-89.0,50,160.340273
-286.5,50,160.780674
-103.3,50,161.913965
-70.9,50,162.40401
-63.1,50,162.887868
-190.0,50,164.039606
-88.4,50,164.460515
-219.3,50,165.507951
-108.2,50,166.138896
-79.0,50,166.595235
-308.9,50,167.738886
-106.6,50,168.228057
-85.8,50,168.64533
-80.7,50,169.7294
-113.2,50,170.13949
-106.7,50,171.128391
-102.8,50,171.532861
-103.8,50,171.963045
-72.7,50,172.905601
-143.4,50,173.302009
-251.9,50,174.202556
-222.0,50,174.6505
-90.5,50,175.179387
-96.4,50,176.169214
-312.8,50,176.591977
-166.1,50,177.795527
-151.7,50,178.198838
-104.0,50,178.625984
-254.9,50,179.641405
-276.9,50,180.049317
-85.9,50,181.056964
-65.3,50,181.582802
-100.6,50,182.017712
-188.4,50,183.032727
-97.3,50,183.582811
-91.2,50,184.025111
-87.1,50,185.114359
-304.5,50,185.564013
-100.5,50,186.642828
-166.9,50,187.110913
-102.9,50,187.583832
-109.4,50,188.576298
-291.2,50,188.999145
-157.5,50,190.09421
-59.7,50,190.51936
-92.9,50,190.976548
-196.5,50,192.015668
-97.7,50,192.462302
-116.3,50,193.542413
-116.6,50,193.988451
-99.9,50,194.551785
-296.4,50,195.593986
-308.7,50,196.016865
-286.8,50,196.399994
-95.7,50,197.466035
-330.9,50,197.860368
-317.9,50,198.93866
-75.1,50,199.34264
-261.7,50,199.783887
-82.5,50,200.935467
-205.3,50,201.424747
-315.3,50,202.510029
-371.8,50,203.002234
-109.4,50,203.511905
-107.1,50,204.537384
-76.0,50,205.063956
-106.7,50,206.151012
-91.6,50,206.607089
-178.4,50,207.142289
-111.2,50,208.380478
-96.0,50,208.82119
-92.5,50,209.92804
-78.7,50,210.3771
-99.3,50,210.841979
-98.3,50,211.968068
-115.5,50,212.443135
-80.9,50,212.907408
-289.5,50,213.90499
-109.4,50,214.413424
-93.6,50,215.499407
-64.9,50,216.069142
-114.7,50,216.523137
-255.4,50,217.569489
-75.3,50,217.940042
-94.6,50,218.973399
-72.0,50,219.433102
-78.7,50,219.875285
-113.9,50,221.11126
-81.2,50,221.635225
-257.5,50,222.663825
-67.2,50,223.05641
-88.4,50,223.564474
-67.1,50,224.546933
-74.2,50,224.998232
-94.7,50,226.222534
-81.3,50,226.808818
-81.7,50,227.301348
-103.4,50,228.434084
-58.8,50,228.881002
-79.4,50,229.344116
-249.6,50,230.49531
-138.7,50,230.89419
-77.0,50,231.999708
-76.6,50,232.40741
-91.8,50,232.862647
-141.4,50,233.977786
-90.8,50,234.407699
-77.4,50,235.494619
-73.4,50,235.922572
-166.3,50,236.42156
-236.8,50,237.598763
-101.4,50,238.08463
-59.6,50,239.269385
-63.1,50,239.706708
-78.3,50,240.17957
-115.2,50,241.311555
-117.0,50,241.814439
-97.5,50,242.222384
-180.7,50,243.209608
-108.0,50,243.706723
-85.7,50,244.806984
-100.9,50,245.308779
-108.6,50,245.830053
-77.2,50,246.842242
-104.4,50,247.47442
-98.5,50,248.612689
-91.1,50,249.021122
-237.5,50,249.492206
-113.5,50,250.518938
-100.9,50,250.973036
-74.2,50,252.07594
-63.4,50,252.525563
-89.2,50,253.003726
-93.1,50,254.114799
-120.1,50,254.605035
-83.3,50,255.686261
-170.7,50,256.165686
-85.3,50,256.65565
-107.8,50,257.751875
-253.8,50,258.370125
-91.3,50,258.883037
-189.1,50,259.969284
-87.6,50,260.435198
-95.6,50,261.48541
-200.5,50,261.908276
-73.3,50,262.362864
-275.7,50,263.416525
-171.5,50,263.873124
-96.6,50,264.926791
-329.6,50,265.377388
-134.7,50,265.84211
-96.8,50,266.881966
-107.2,50,267.323323
-278.8,50,268.472194
-133.1,50,268.835706
-188.4,50,269.252415
-125.5,50,270.396685
-108.9,50,270.83662
-77.7,50,271.993469
-105.7,50,272.45608
-80.4,50,272.907014
-144.5,50,274.052057
-187.8,50,274.556476
-291.2,50,274.993268
-125.2,50,275.907411
-77.6,50,276.392796
-323.1,50,277.442416
-252.1,50,277.860013
-191.3,50,278.308326
-326.6,50,279.526626
-90.3,50,279.938251
-99.0,50,281.025996
-299.6,50,281.53198
-103.3,50,281.927364
-267.9,50,283.003935
-93.2,50,283.445796
-312.9,50,284.446803
-163.1,50,284.90169
-212.1,50,285.381595
-95.5,50,286.418671
-94.5,50,286.836397
-133.5,50,287.320529
-318.7,50,288.38712
-72.6,50,288.757843
-279.1,50,290.001659
-314.9,50,290.429803
-190.2,50,290.851678
-99.4,50,291.852574
-128.7,50,292.28989
-96.5,50,293.321299
-84.8,50,293.786286
-101.4,50,294.256857
-102.9,50,295.321767
-103.6,50,295.760043
-114.9,50,296.910038
-110.2,50,297.354907
-139.7,50,297.806616
-209.8,50,298.938765
-156.0,50,299.489468
-230.2,50,300.548404
-105.6,50,300.94495
-86.4,50,301.377683
-84.8,50,302.410972
-340.2,50,302.931105
-146.3,50,303.416424
-74.9,50,304.339588
-86.4,50,304.75343
-292.5,50,305.900254
-157.2,50,306.319849
-243.9,50,306.724132
-177.5,50,307.799545
-269.6,50,308.206363
-254.5,50,309.239011
-251.3,50,309.876885
-165.1,50,310.357259
-108.4,50,311.375364
-193.6,50,311.885231
-100.1,50,312.900031
-230.3,50,313.35837
-153.0,50,313.831568
-264.8,50,314.896683
-91.3,50,315.293217
-291.2,50,316.326226
-191.8,50,316.775834
-176.6,50,317.234677
-102.1,50,318.295617
-228.1,50,318.779701
-125.8,50,319.231253
-254.3,50,320.254383
-151.0,50,320.712437
-324.4,50,321.755137
-126.7,50,322.155251
-266.0,50,322.586844
-143.2,50,323.713596
-223.9,50,324.194609
-347.7,50,325.260996
-112.2,50,325.76141
-225.0,50,326.237794
-216.2,50,327.286685
-97.9,50,327.780684
-88.1,50,328.766778
-117.2,50,329.181276
-120.9,50,329.860702
-77.9,50,330.959397
-192.3,50,331.450993
-133.9,50,331.914414
-87.4,50,332.885792
-287.8,50,333.316589
-177.6,50,334.331953
-112.9,50,334.824197
-162.6,50,335.259543
-239.2,50,336.400901
-235.3,50,336.857371
-337.9,50,337.904654
-239.9,50,338.304964
-233.5,50,338.706553
-102.8,50,339.739133
-273.6,50,340.170878
-104.3,50,341.236943
-72.7,50,341.665176
-103.6,50,342.155176
-73.0,50,343.235643
